bed_id,hospital_id,department_id,bed_number,bed_type,availability_status
BED000001,H001,DEPT0002,ICU-001,ICU,Occupied
BED000002,H001,DEPT0002,ICU-002,ICU,Available
BED000003,H001,DEPT0002,ICU-003,ICU,Available
BED000004,H001,DEPT0002,ICU-004,ICU,Occupied
BED000005,H001,DEPT0002,ICU-005,ICU,Occupied
BED000006,H001,DEPT0002,ICU-006,ICU,Occupied
BED000007,H001,DEPT0002,ICU-007,ICU,Occupied
BED000008,H001,DEPT0002,ICU-008,ICU,Occupied
BED000009,H001,DEPT0002,ICU-009,ICU,Occupied
BED000010,H001,DEPT0002,ICU-010,ICU,Available
BED000011,H001,DEPT0002,ICU-011,ICU,Available
BED000012,H001,DEPT0002,ICU-012,ICU,Available
BED000013,H001,DEPT0002,ICU-013,ICU,Occupied
BED000014,H001,DEPT0002,ICU-014,ICU,Occupied
BED000015,H001,DEPT0002,ICU-015,ICU,Occupied
BED000016,H001,DEPT0002,ICU-016,ICU,Occupied
BED000017,H001,DEPT0002,ICU-017,ICU,Available
BED000018,H001,DEPT0002,ICU-018,ICU,Occupied
BED000019,H001,DEPT0002,ICU-019,ICU,Occupied
BED000020,H001,DEPT0002,ICU-020,ICU,Available
BED000021,H001,DEPT0002,ICU-021,ICU,Available
BED000022,H001,DEPT0002,ICU-022,ICU,Occupied
BED000023,H001,DEPT0002,ICU-023,ICU,Occupied
BED000024,H001,DEPT0002,ICU-024,ICU,Available
BED000025,H001,DEPT0002,ICU-025,ICU,Occupied
BED000026,H001,DEPT0002,ICU-026,ICU,Available
BED000027,H001,DEPT0002,ICU-027,ICU,Available
BED000028,H001,DEPT0002,ICU-028,ICU,Occupied
BED000029,H001,DEPT0002,ICU-029,ICU,Occupied
BED000030,H001,DEPT0002,ICU-030,ICU,Occupied
BED000031,H001,DEPT0002,ICU-031,ICU,Available
BED000032,H001,DEPT0002,ICU-032,ICU,Under Maintenance
BED000033,H001,DEPT0002,ICU-033,ICU,Occupied
BED000034,H001,DEPT0002,ICU-034,ICU,Available
BED000035,H001,DEPT0002,ICU-035,ICU,Available
BED000036,H001,DEPT0002,ICU-036,ICU,Occupied
BED000037,H001,DEPT0002,ICU-037,ICU,Occupied
BED000038,H001,DEPT0002,ICU-038,ICU,Available
BED000039,H001,DEPT0002,ICU-039,ICU,Available
BED000040,H001,DEPT0002,ICU-040,ICU,Available
BED000041,H001,DEPT0002,ICU-041,ICU,Available
