schedule_id,doctor_id,shift_date,shift_start,shift_end
SCH0000001,DOC0001,5/9/2024,20:00,8:00
SCH0000002,DOC0001,5/10/2024,14:00,20:00
SCH0000003,DOC0001,5/11/2024,8:00,14:00
SCH0000004,DOC0001,5/11/2024,14:00,20:00
SCH0000005,DOC0001,5/12/2024,20:00,8:00
SCH0000006,DOC0001,5/15/2024,20:00,8:00
SCH0000007,DOC0001,5/16/2024,20:00,8:00
SCH0000008,DOC0001,5/17/2024,14:00,20:00
SCH0000009,DOC0001,5/20/2024,20:00,8:00
SCH0000010,DOC0001,5/20/2024,8:00,14:00
SCH0000011,DOC0001,5/21/2024,8:00,14:00
SCH0000012,DOC0001,5/22/2024,14:00,20:00
SCH0000013,DOC0001,5/23/2024,14:00,20:00
SCH0000014,DOC0001,5/24/2024,14:00,20:00
SCH0000015,DOC0001,5/25/2024,14:00,20:00
SCH0000016,DOC0001,5/26/2024,20:00,8:00
SCH0000017,DOC0001,5/28/2024,14:00,20:00
SCH0000018,DOC0001,5/31/2024,20:00,8:00
SCH0000019,DOC0001,6/1/2024,8:00,14:00
SCH0000020,DOC0001,6/2/2024,14:00,20:00
SCH0000021,DOC0001,6/4/2024,8:00,14:00
SCH0000022,DOC0001,6/5/2024,8:00,14:00
SCH0000023,DOC0001,6/6/2024,14:00,20:00
SCH0000024,DOC0001,6/6/2024,20:00,8:00
SCH0000025,DOC0001,6/7/2024,20:00,8:00
SCH0000026,DOC0001,6/9/2024,8:00,14:00
SCH0000027,DOC0001,6/10/2024,14:00,20:00
SCH0000028,DOC0001,6/12/2024,20:00,8:00
SCH0000029,DOC0001,6/13/2024,8:00,14:00
SCH0000030,DOC0001,6/14/2024,14:00,20:00
SCH0000031,DOC0001,6/15/2024,14:00,20:00
SCH0000032,DOC0001,6/16/2024,20:00,8:00
SCH0000033,DOC0001,6/16/2024,14:00,20:00
SCH0000034,DOC0001,6/18/2024,8:00,14:00
SCH0000035,DOC0001,6/21/2024,8:00,14:00
SCH0000036,DOC0001,6/21/2024,20:00,8:00
SCH0000037,DOC0001,6/23/2024,20:00,8:00
SCH0000038,DOC0001,6/23/2024,8:00,14:00
SCH0000039,DOC0001,6/26/2024,20:00,8:00
SCH0000040,DOC0001,6/28/2024,20:00,8:00
SCH0000041,DOC0001,6/30/2024,14:00,20:00
SCH0000042,DOC0001,6/30/2024,20:00,8:00
SCH0000043,DOC0001,7/3/2024,14:00,20:00
SCH0000044,DOC0001,7/4/2024,20:00,8:00
SCH0000045,DOC0001,7/4/2024,8:00,14:00
SCH0000046,DOC0001,7/5/2024,14:00,20:00
SCH0000047,DOC0001,7/6/2024,8:00,14:00
SCH0000048,DOC0001,7/11/2024,14:00,20:00
SCH0000049,DOC0001,7/12/2024,8:00,14:00
SCH0000050,DOC0001,7/13/2024,8:00,14:00
SCH0000051,DOC0001,7/13/2024,14:00,20:00
SCH0000052,DOC0001,7/14/2024,20:00,8:00
SCH0000053,DOC0001,7/18/2024,20:00,8:00
SCH0000054,DOC0001,7/18/2024,8:00,14:00
SCH0000055,DOC0001,7/19/2024,20:00,8:00
SCH0000056,DOC0001,7/20/2024,8:00,14:00
SCH0000057,DOC0001,7/21/2024,8:00,14:00
SCH0000058,DOC0001,7/23/2024,8:00,14:00
SCH0000059,DOC0001,7/26/2024,8:00,14:00
SCH0000060,DOC0001,7/27/2024,8:00,14:00
SCH0000061,DOC0001,7/28/2024,20:00,8:00
SCH0000062,DOC0001,7/29/2024,14:00,20:00
SCH0000063,DOC0001,7/30/2024,14:00,20:00
SCH0000064,DOC0001,8/1/2024,20:00,8:00
SCH0000065,DOC0001,8/2/2024,14:00,20:00
SCH0000066,DOC0001,8/4/2024,20:00,8:00
SCH0000067,DOC0001,8/5/2024,8:00,14:00
SCH0000068,DOC0001,8/6/2024,14:00,20:00
SCH0000069,DOC0001,8/7/2024,8:00,14:00
SCH0000070,DOC0001,8/7/2024,14:00,20:00
SCH0000071,DOC0001,8/8/2024,8:00,14:00
SCH0000072,DOC0001,8/9/2024,20:00,8:00
SCH0000073,DOC0001,8/11/2024,20:00,8:00
SCH0000074,DOC0001,8/11/2024,8:00,14:00
SCH0000075,DOC0001,8/15/2024,14:00,20:00
SCH0000076,DOC0001,8/15/2024,20:00,8:00
SCH0000077,DOC0001,8/16/2024,20:00,8:00
SCH0000078,DOC0001,8/16/2024,8:00,14:00
SCH0000079,DOC0001,8/17/2024,8:00,14:00
SCH0000080,DOC0001,8/17/2024,20:00,8:00
SCH0000081,DOC0001,8/19/2024,8:00,14:00
SCH0000082,DOC0001,8/19/2024,20:00,8:00
SCH0000083,DOC0001,8/20/2024,14:00,20:00
SCH0000084,DOC0001,8/21/2024,14:00,20:00
SCH0000085,DOC0001,8/22/2024,8:00,14:00
SCH0000086,DOC0001,8/24/2024,20:00,8:00
SCH0000087,DOC0001,8/25/2024,20:00,8:00
SCH0000088,DOC0001,8/26/2024,8:00,14:00
SCH0000089,DOC0001,8/27/2024,20:00,8:00
SCH0000090,DOC0001,8/28/2024,20:00,8:00
SCH0000091,DOC0001,8/29/2024,20:00,8:00
SCH0000092,DOC0001,8/29/2024,8:00,14:00
SCH0000093,DOC0001,8/30/2024,14:00,20:00
SCH0000094,DOC0001,8/30/2024,20:00,8:00
SCH0000095,DOC0001,8/31/2024,20:00,8:00
SCH0000096,DOC0001,9/1/2024,20:00,8:00
SCH0000097,DOC0001,9/2/2024,8:00,14:00
SCH0000098,DOC0001,9/3/2024,8:00,14:00
SCH0000099,DOC0001,9/4/2024,20:00,8:00
SCH0000100,DOC0001,9/5/2024,20:00,8:00
SCH0000101,DOC0001,9/7/2024,20:00,8:00
SCH0000102,DOC0001,9/8/2024,8:00,14:00
SCH0000103,DOC0001,9/10/2024,20:00,8:00
SCH0000104,DOC0001,9/12/2024,8:00,14:00
SCH0000105,DOC0001,9/14/2024,8:00,14:00
SCH0000106,DOC0001,9/17/2024,14:00,20:00
SCH0000107,DOC0001,9/17/2024,20:00,8:00
SCH0000108,DOC0001,9/18/2024,8:00,14:00
SCH0000109,DOC0001,9/19/2024,8:00,14:00
SCH0000110,DOC0001,9/20/2024,8:00,14:00
SCH0000111,DOC0001,9/21/2024,20:00,8:00
SCH0000112,DOC0001,9/21/2024,8:00,14:00
SCH0000113,DOC0001,9/22/2024,20:00,8:00
SCH0000114,DOC0001,9/24/2024,8:00,14:00
SCH0000115,DOC0001,9/24/2024,20:00,8:00
SCH0000116,DOC0001,9/25/2024,20:00,8:00
SCH0000117,DOC0001,9/26/2024,14:00,20:00
SCH0000118,DOC0001,9/26/2024,20:00,8:00
SCH0000119,DOC0001,9/27/2024,20:00,8:00
SCH0000120,DOC0001,9/28/2024,8:00,14:00
SCH0000121,DOC0001,10/1/2024,20:00,8:00
SCH0000122,DOC0001,10/2/2024,14:00,20:00
SCH0000123,DOC0001,10/2/2024,8:00,14:00
SCH0000124,DOC0001,10/3/2024,20:00,8:00
SCH0000125,DOC0001,10/5/2024,20:00,8:00
SCH0000126,DOC0001,10/6/2024,20:00,8:00
SCH0000127,DOC0001,10/8/2024,14:00,20:00
SCH0000128,DOC0001,10/8/2024,20:00,8:00
SCH0000129,DOC0001,10/10/2024,20:00,8:00
SCH0000130,DOC0001,10/12/2024,14:00,20:00
SCH0000131,DOC0001,10/13/2024,20:00,8:00
SCH0000132,DOC0001,10/15/2024,8:00,14:00
SCH0000133,DOC0001,10/16/2024,14:00,20:00
SCH0000134,DOC0001,10/18/2024,14:00,20:00
SCH0000135,DOC0001,10/19/2024,8:00,14:00
SCH0000136,DOC0001,10/20/2024,14:00,20:00
SCH0000137,DOC0001,10/22/2024,14:00,20:00
SCH0000138,DOC0001,10/23/2024,20:00,8:00
SCH0000139,DOC0001,10/25/2024,20:00,8:00
SCH0000140,DOC0001,10/26/2024,20:00,8:00
SCH0000141,DOC0001,10/28/2024,20:00,8:00
SCH0000142,DOC0001,10/30/2024,20:00,8:00
SCH0000143,DOC0001,11/1/2024,20:00,8:00
SCH0000144,DOC0001,11/2/2024,14:00,20:00
SCH0000145,DOC0001,11/4/2024,14:00,20:00
SCH0000146,DOC0001,11/7/2024,8:00,14:00
SCH0000147,DOC0001,11/7/2024,20:00,8:00
SCH0000148,DOC0001,11/8/2024,14:00,20:00
SCH0000149,DOC0001,11/9/2024,8:00,14:00
SCH0000150,DOC0001,11/11/2024,8:00,14:00
SCH0000151,DOC0001,11/11/2024,14:00,20:00
SCH0000152,DOC0001,11/12/2024,20:00,8:00
SCH0000153,DOC0001,11/18/2024,8:00,14:00
SCH0000154,DOC0001,11/18/2024,14:00,20:00
SCH0000155,DOC0001,11/20/2024,8:00,14:00
SCH0000156,DOC0001,11/20/2024,20:00,8:00
SCH0000157,DOC0001,11/22/2024,20:00,8:00
SCH0000158,DOC0001,11/24/2024,8:00,14:00
SCH0000159,DOC0001,11/25/2024,20:00,8:00
SCH0000160,DOC0001,11/26/2024,8:00,14:00
SCH0000161,DOC0001,11/26/2024,20:00,8:00
SCH0000162,DOC0001,11/27/2024,20:00,8:00
SCH0000163,DOC0001,11/28/2024,20:00,8:00
SCH0000164,DOC0001,11/29/2024,14:00,20:00
SCH0000165,DOC0001,11/29/2024,20:00,8:00
SCH0000166,DOC0001,11/30/2024,8:00,14:00
SCH0000167,DOC0001,12/3/2024,8:00,14:00
SCH0000168,DOC0001,12/5/2024,20:00,8:00
SCH0000169,DOC0001,12/5/2024,8:00,14:00
SCH0000170,DOC0001,12/6/2024,20:00,8:00
SCH0000171,DOC0001,12/8/2024,14:00,20:00
SCH0000172,DOC0001,12/10/2024,14:00,20:00
SCH0000173,DOC0001,12/11/2024,14:00,20:00
SCH0000174,DOC0001,12/11/2024,8:00,14:00
SCH0000175,DOC0001,12/12/2024,14:00,20:00
SCH0000176,DOC0001,12/13/2024,8:00,14:00
SCH0000177,DOC0001,12/13/2024,14:00,20:00
SCH0000178,DOC0001,12/14/2024,14:00,20:00
SCH0000179,DOC0001,12/15/2024,20:00,8:00
SCH0000180,DOC0001,12/16/2024,14:00,20:00
SCH0000181,DOC0001,12/16/2024,20:00,8:00
SCH0000182,DOC0001,12/17/2024,20:00,8:00
SCH0000183,DOC0001,12/17/2024,8:00,14:00
SCH0000184,DOC0001,12/18/2024,20:00,8:00
SCH0000185,DOC0001,12/18/2024,8:00,14:00
SCH0000186,DOC0001,12/19/2024,8:00,14:00
SCH0000187,DOC0001,12/20/2024,20:00,8:00
SCH0000188,DOC0001,12/21/2024,20:00,8:00
SCH0000189,DOC0001,12/21/2024,14:00,20:00
SCH0000190,DOC0001,12/27/2024,14:00,20:00
SCH0000191,DOC0001,12/28/2024,20:00,8:00
SCH0000192,DOC0001,12/31/2024,20:00,8:00
SCH0000193,DOC0001,12/31/2024,14:00,20:00
SCH0000194,DOC0001,1/1/2025,20:00,8:00
SCH0000195,DOC0001,1/2/2025,8:00,14:00
SCH0000196,DOC0001,1/4/2025,20:00,8:00
SCH0000197,DOC0001,1/5/2025,8:00,14:00
SCH0000198,DOC0001,1/7/2025,20:00,8:00
SCH0000199,DOC0001,1/7/2025,8:00,14:00
SCH0000200,DOC0001,1/8/2025,20:00,8:00
SCH0000201,DOC0001,1/10/2025,20:00,8:00
SCH0000202,DOC0001,1/11/2025,14:00,20:00
SCH0000203,DOC0001,1/12/2025,8:00,14:00
SCH0000204,DOC0001,1/13/2025,20:00,8:00
SCH0000205,DOC0001,1/13/2025,8:00,14:00
SCH0000206,DOC0001,1/14/2025,14:00,20:00
SCH0000207,DOC0001,1/14/2025,20:00,8:00
SCH0000208,DOC0001,1/15/2025,14:00,20:00
SCH0000209,DOC0001,1/16/2025,14:00,20:00
SCH0000210,DOC0001,1/17/2025,20:00,8:00
SCH0000211,DOC0001,1/20/2025,20:00,8:00
SCH0000212,DOC0001,1/21/2025,20:00,8:00
SCH0000213,DOC0001,1/21/2025,8:00,14:00
SCH0000214,DOC0001,1/22/2025,14:00,20:00
SCH0000215,DOC0001,1/22/2025,20:00,8:00
SCH0000216,DOC0001,1/24/2025,8:00,14:00
SCH0000217,DOC0001,1/24/2025,14:00,20:00
SCH0000218,DOC0001,1/26/2025,14:00,20:00
SCH0000219,DOC0001,1/27/2025,20:00,8:00
SCH0000220,DOC0001,1/27/2025,14:00,20:00
SCH0000221,DOC0001,1/28/2025,8:00,14:00
SCH0000222,DOC0001,1/29/2025,8:00,14:00
SCH0000223,DOC0001,1/30/2025,20:00,8:00
SCH0000224,DOC0001,1/31/2025,20:00,8:00
SCH0000225,DOC0001,2/2/2025,8:00,14:00
SCH0000226,DOC0001,2/2/2025,20:00,8:00
SCH0000227,DOC0001,2/4/2025,8:00,14:00
SCH0000228,DOC0001,2/5/2025,20:00,8:00
SCH0000229,DOC0001,2/5/2025,8:00,14:00
SCH0000230,DOC0001,2/6/2025,8:00,14:00
SCH0000231,DOC0001,2/6/2025,14:00,20:00
SCH0000232,DOC0001,2/8/2025,14:00,20:00
SCH0000233,DOC0001,2/8/2025,20:00,8:00
SCH0000234,DOC0001,2/10/2025,20:00,8:00
SCH0000235,DOC0001,2/11/2025,8:00,14:00
SCH0000236,DOC0001,2/12/2025,20:00,8:00
SCH0000237,DOC0001,2/13/2025,14:00,20:00
SCH0000238,DOC0001,2/13/2025,8:00,14:00
SCH0000239,DOC0001,2/14/2025,8:00,14:00
SCH0000240,DOC0001,2/16/2025,14:00,20:00
SCH0000241,DOC0001,2/17/2025,14:00,20:00
SCH0000242,DOC0001,2/17/2025,20:00,8:00
SCH0000243,DOC0001,2/18/2025,20:00,8:00
SCH0000244,DOC0001,2/18/2025,8:00,14:00
SCH0000245,DOC0001,2/19/2025,20:00,8:00
SCH0000246,DOC0001,2/20/2025,8:00,14:00
SCH0000247,DOC0001,2/20/2025,14:00,20:00
SCH0000248,DOC0001,2/21/2025,14:00,20:00
SCH0000249,DOC0001,2/22/2025,20:00,8:00
SCH0000250,DOC0001,2/23/2025,20:00,8:00
SCH0000251,DOC0001,2/23/2025,14:00,20:00
SCH0000252,DOC0001,2/24/2025,8:00,14:00
SCH0000253,DOC0001,2/27/2025,20:00,8:00
SCH0000254,DOC0001,2/28/2025,8:00,14:00
SCH0000255,DOC0001,3/1/2025,20:00,8:00
SCH0000256,DOC0001,3/2/2025,14:00,20:00
SCH0000257,DOC0001,3/4/2025,20:00,8:00
SCH0000258,DOC0001,3/5/2025,8:00,14:00
SCH0000259,DOC0001,3/7/2025,20:00,8:00
SCH0000260,DOC0001,3/8/2025,8:00,14:00
SCH0000261,DOC0001,3/8/2025,14:00,20:00
SCH0000262,DOC0001,3/10/2025,20:00,8:00
SCH0000263,DOC0001,3/11/2025,20:00,8:00
SCH0000264,DOC0001,3/11/2025,8:00,14:00
SCH0000265,DOC0001,3/13/2025,8:00,14:00
SCH0000266,DOC0001,3/15/2025,20:00,8:00
SCH0000267,DOC0001,3/16/2025,8:00,14:00
SCH0000268,DOC0001,3/16/2025,14:00,20:00
SCH0000269,DOC0001,3/17/2025,20:00,8:00
SCH0000270,DOC0001,3/18/2025,20:00,8:00
SCH0000271,DOC0001,3/18/2025,14:00,20:00
SCH0000272,DOC0001,3/19/2025,8:00,14:00
SCH0000273,DOC0001,3/20/2025,8:00,14:00
SCH0000274,DOC0001,3/21/2025,14:00,20:00
SCH0000275,DOC0001,3/23/2025,20:00,8:00
SCH0000276,DOC0001,3/24/2025,20:00,8:00
SCH0000277,DOC0001,3/25/2025,14:00,20:00
SCH0000278,DOC0001,3/27/2025,20:00,8:00
SCH0000279,DOC0001,3/28/2025,14:00,20:00
SCH0000280,DOC0001,3/28/2025,20:00,8:00
SCH0000281,DOC0001,3/29/2025,8:00,14:00
SCH0000282,DOC0001,3/30/2025,8:00,14:00
SCH0000283,DOC0001,3/30/2025,20:00,8:00
SCH0000284,DOC0001,3/31/2025,14:00,20:00
SCH0000285,DOC0001,3/31/2025,8:00,14:00
SCH0000286,DOC0001,4/1/2025,20:00,8:00
SCH0000287,DOC0001,4/2/2025,8:00,14:00
SCH0000288,DOC0001,4/5/2025,14:00,20:00
SCH0000289,DOC0001,4/6/2025,20:00,8:00
SCH0000290,DOC0001,4/7/2025,14:00,20:00
SCH0000291,DOC0001,4/7/2025,20:00,8:00
SCH0000292,DOC0001,4/8/2025,8:00,14:00
SCH0000293,DOC0001,4/9/2025,8:00,14:00
SCH0000294,DOC0001,4/10/2025,20:00,8:00
SCH0000295,DOC0001,4/11/2025,14:00,20:00
SCH0000296,DOC0001,4/11/2025,20:00,8:00
SCH0000297,DOC0001,4/12/2025,20:00,8:00
SCH0000298,DOC0001,4/15/2025,14:00,20:00
SCH0000299,DOC0001,4/15/2025,20:00,8:00
SCH0000300,DOC0001,4/16/2025,8:00,14:00
SCH0000301,DOC0001,4/17/2025,20:00,8:00
SCH0000302,DOC0001,4/17/2025,14:00,20:00
SCH0000303,DOC0001,4/18/2025,20:00,8:00
SCH0000304,DOC0001,4/22/2025,8:00,14:00
SCH0000305,DOC0001,4/23/2025,8:00,14:00
SCH0000306,DOC0001,4/26/2025,20:00,8:00
SCH0000307,DOC0001,4/27/2025,8:00,14:00
SCH0000308,DOC0001,4/29/2025,20:00,8:00
SCH0000309,DOC0001,4/30/2025,8:00,14:00
SCH0000310,DOC0001,4/30/2025,14:00,20:00
SCH0000311,DOC0001,5/1/2025,8:00,14:00
SCH0000312,DOC0001,5/2/2025,20:00,8:00
SCH0000313,DOC0001,5/2/2025,14:00,20:00
SCH0000314,DOC0001,5/3/2025,14:00,20:00
SCH0000315,DOC0001,5/5/2025,20:00,8:00
SCH0000316,DOC0001,5/6/2025,14:00,20:00
SCH0000317,DOC0001,5/7/2025,20:00,8:00
SCH0000318,DOC0001,5/8/2025,20:00,8:00
